project_code,mounting_zone,environment_rating,wire_count,connector_count,splice_count,branch_points,avg_wire_length_m,total_wire_length_m,dominant_awg,awg_mix_entropy,insulation,shield_type,bundle_protection,connector_series,voltage_level,continuity_test,insulation_resistance_test,hipot_test,harness_weight_kg,current_max_amp,complexity_score,estimated_build_time_hr,estimated_material_cost_usd,defect_risk_prob,likely_defect
P6454,Engine Nacelle,High Temp,38,6,3,3,1.191,45.26,10,0.539,PTFE,Foil+Braid,Braided Sleeving,MIL-DTL-83723,28VDC,TRUE,TRUE,FALSE,2.634,25.5,6.56,17.02,300.68,0.231,0
P5645,Engine Nacelle,Normal,86,28,0,3,2.16,185.74,16,0.524,Polyimide,Braid,Braided Sleeving,MIL-DTL-83723,28VDC,TRUE,TRUE,FALSE,4.703,13,6.95,15.23,1149.51,0.264,0
P7468,Engine Nacelle,Normal,68,19,1,0,1.729,117.55,18,0.634,XL-ETFE,Foil,Lacing Cord,MIL-DTL-83723,115VAC 400Hz,TRUE,TRUE,TRUE,2.281,8,6.09,18.7,728.04,0.246,0
P1240,Engine Nacelle,Normal,53,20,2,0,1.418,75.13,22,0.793,PVC,None,Heat Shrink,Micro-D,270VDC,TRUE,TRUE,TRUE,0.875,3,5.4,15.1,567.65,0.221,1
P1060,Avionics Bay,Normal,75,14,1,4,1.045,78.34,20,0.28,XL-ETFE,Braid,Lacing Cord,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,1.101,5,6.53,17.81,657.82,0.258,0
P9081,Cockpit,Normal,75,18,4,4,1.761,132.1,14,0.49,PVC,Foil,Heat Shrink,MIL-DTL-38999,115VAC 400Hz,TRUE,TRUE,TRUE,4.43,20,6.67,19.1,962.33,0.257,1
P4644,Cabin,Normal,88,26,2,2,1.489,131.01,16,0.533,XL-ETFE,Braid,Braided Sleeving,MIL-DTL-26482,28VDC,TRUE,TRUE,FALSE,3.323,13,6.9,19.46,707.95,0.241,1
P7965,Cockpit,Normal,75,28,0,2,1.445,108.34,22,1,XL-ETFE,None,Braided Sleeving,MIL-DTL-83723,28VDC,TRUE,TRUE,FALSE,1.311,3,5.71,16.96,973.44,0.209,0
P7085,Wing Root,High Temp,95,24,4,6,1.165,110.71,22,0.421,XL-ETFE,None,Braided Sleeving,Micro-D,28VDC,TRUE,TRUE,FALSE,1.198,2.55,6.76,20.04,717.13,0.238,1
P9216,Avionics Bay,Normal,22,12,1,0,1.51,33.22,20,0.432,Polyimide,None,Heat Shrink,MIL-DTL-83723,115VAC 400Hz,TRUE,TRUE,TRUE,0.459,5,4.8,12.06,438.16,0.205,0
P6720,Engine Nacelle,High Temp,52,10,0,1,1.531,79.62,14,0.428,XL-ETFE,Foil,Lacing Cord,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,2.637,17,6.04,11.8,533.5,0.242,0
P6262,Wing Root,Normal,99,23,0,2,2.068,204.71,16,0.561,PVC,None,Spiral Wrap,Micro-D,230VAC 50Hz,TRUE,TRUE,TRUE,4.973,13,5.77,13.48,770.54,0.23,0
P4985,Cargo Bay,Moisture-Prone,116,28,6,4,1.33,154.22,22,0.381,XL-ETFE,Braid,Braided Sleeving,MIL-DTL-26482,28VDC,TRUE,TRUE,FALSE,1.739,3,7.78,23.58,698.11,0.268,0
P1402,Avionics Bay,Normal,134,31,7,6,1.593,213.44,18,0.559,XL-ETFE,Foil,Lacing Cord,MIL-DTL-83723,115VAC 400Hz,TRUE,TRUE,TRUE,4.082,8,7.47,25.08,1290.33,0.289,1
P4443,Cabin,Vibration-Prone,74,17,3,0,1.822,134.8,20,0.772,Polyimide,Foil,Braided Sleeving,MIL-DTL-26482,28VDC,TRUE,TRUE,FALSE,2.089,5,6.98,18.29,525.35,0.397,1
P9564,Cockpit,Normal,81,18,6,5,1.73,140.11,20,0.239,XL-ETFE,None,Spiral Wrap,Micro-D,28VDC,TRUE,TRUE,FALSE,1.859,5,6.18,19.18,595.46,0.222,0
P3939,Cabin,Normal,109,29,3,8,1.912,208.36,20,0.582,XL-ETFE,None,Lacing Cord,MIL-DTL-26482,115VAC 400Hz,TRUE,TRUE,TRUE,2.965,5,6.51,22.07,877.29,0.259,0
P4483,Engine Nacelle,Normal,62,14,1,2,1.491,92.44,22,0.649,XL-ETFE,Foil+Braid,Heat Shrink,MIL-DTL-38999,115VAC 400Hz,TRUE,TRUE,TRUE,1.099,3,6.54,20.4,689.93,0.232,0
P6904,Cockpit,Normal,28,10,3,0,1.975,55.3,18,0.482,XL-ETFE,Braid,Heat Shrink,D-Sub,28VDC,TRUE,TRUE,FALSE,1.041,8,5.71,15.5,163.81,0.209,0
P4407,Engine Nacelle,Normal,105,30,4,1,1.73,181.62,12,1,XL-ETFE,Foil,Lacing Cord,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,8.391,25,6.9,21.22,1417.92,0.27,0
P9060,Cabin,Vibration-Prone,97,20,4,6,1.711,165.93,20,0.839,PTFE,Foil,Lacing Cord,MIL-DTL-26482,28VDC,TRUE,TRUE,FALSE,2.605,5,7.44,21.53,564.62,0.423,0
P9273,Cabin,High Temp,172,46,4,5,1.547,266.05,14,0.77,PTFE,Braid,Lacing Cord,MIL-DTL-26482,28VDC,TRUE,TRUE,FALSE,9.422,17,8.26,30.73,1390.63,0.317,0
P1350,Wing Root,Vibration-Prone,72,17,5,1,2.263,162.93,26,0.821,XL-ETFE,None,Braided Sleeving,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,1.127,1.2,6.31,19.62,825.86,0.347,0
P1604,Cabin,Vibration-Prone,41,8,0,2,1.65,67.63,24,0.475,XL-ETFE,None,Braided Sleeving,Micro-D,28VDC,TRUE,TRUE,FALSE,0.572,2,5.3,8.71,270.01,0.309,0
P7016,Wing Root,High Temp,95,21,2,3,1.946,184.83,16,0.598,XL-ETFE,Braid,Braided Sleeving,D-Sub,28VDC,TRUE,TRUE,FALSE,4.749,11.05,7.32,18.58,442.37,0.253,0
P9014,Cargo Bay,Normal,86,17,1,4,1.947,167.48,16,0.209,Polyimide,None,Heat Shrink,MIL-DTL-38999,115VAC 400Hz,TRUE,FALSE,TRUE,3.785,13,6.01,15.96,924.12,0.238,0
P4072,Engine Nacelle,Normal,74,19,2,1,1.739,128.71,16,0.42,XL-ETFE,None,Spiral Wrap,Micro-D,28VDC,TRUE,TRUE,FALSE,3.04,13,5.68,19.97,647.52,0.209,0
P2308,Wing Root,Normal,45,7,0,2,2.378,107,16,0.531,XL-ETFE,Foil+Braid,Lacing Cord,MIL-DTL-38999,230VAC 50Hz,TRUE,TRUE,TRUE,2.713,13,5.91,9.78,419.76,0.238,0
P7713,Cockpit,Normal,105,26,7,2,1.361,142.95,16,0.54,Polyimide,Foil,Lacing Cord,MIL-DTL-38999,270VDC,TRUE,TRUE,TRUE,3.631,13,7.27,21.88,1195.56,0.307,1
P3147,Cabin,High Temp,68,15,0,0,1.958,133.15,26,0.657,XL-ETFE,Braid,Heat Shrink,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,0.937,1.02,6.48,16.04,725.99,0.229,0
P9113,Cargo Bay,High Temp,130,30,6,5,1.058,137.49,16,0.683,PTFE,Braid,Braided Sleeving,MIL-DTL-38999,230VAC 50Hz,TRUE,TRUE,TRUE,3.591,11.05,8,22.21,1403.03,0.274,0
P7694,Cockpit,Normal,101,27,7,4,1.312,132.56,16,0.641,XL-ETFE,Foil+Braid,Braided Sleeving,MIL-DTL-83723,270VDC,TRUE,TRUE,FALSE,3.435,13,7.61,21.39,1097.72,0.262,0
P2524,Cockpit,Normal,101,31,2,4,1.258,127.01,26,0.607,PTFE,None,Braided Sleeving,MIL-DTL-38999,270VDC,TRUE,TRUE,TRUE,0.843,1.2,6.28,21.44,1368.82,0.225,0
P6694,Cargo Bay,Normal,44,15,3,0,1.33,58.53,18,0.451,XL-ETFE,None,Lacing Cord,Micro-D,270VDC,TRUE,TRUE,TRUE,1.043,8,5.25,13.79,435.58,0.222,0
P7614,Wing Root,Moisture-Prone,88,20,2,5,2.043,179.79,22,0.449,XL-ETFE,Foil,Lacing Cord,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,2.055,3,7.04,21.25,999.09,0.275,1
P7085,Cockpit,Moisture-Prone,84,20,6,5,1.213,101.88,22,0.712,XL-ETFE,None,Lacing Cord,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,1.168,3,6.59,22.99,904.17,0.262,1
P4949,Avionics Bay,Normal,63,22,2,3,1.513,95.32,18,0.567,Polyimide,Foil+Braid,Braided Sleeving,MIL-DTL-26482,28VDC,TRUE,TRUE,FALSE,1.826,8,7.13,16.81,611.54,0.27,1
P4435,Cargo Bay,Normal,85,26,3,5,1.275,108.38,24,0.543,PTFE,None,Braided Sleeving,MIL-DTL-83723,115VAC 400Hz,TRUE,FALSE,TRUE,0.929,2,6.22,17.65,904.71,0.222,1
P1294,Avionics Bay,High Temp,83,17,2,3,1.325,109.99,16,0.33,PTFE,Foil,Spiral Wrap,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,2.677,11.05,6.93,17.02,857.41,0.241,0
P3765,Cargo Bay,High Temp,116,45,3,3,1.5,174,16,0.424,XL-ETFE,Foil,Lacing Cord,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,4.318,11.05,7.65,25.64,1991.75,0.295,0
P4867,Cabin,Normal,79,15,2,2,2.084,164.6,22,0.468,XL-ETFE,Foil,Braided Sleeving,MIL-DTL-38999,115VAC 400Hz,TRUE,TRUE,TRUE,1.889,3,6.36,15,777.63,0.225,1
P4110,Engine Nacelle,Normal,112,32,7,1,1.416,158.6,14,0.709,Polyimide,None,Spiral Wrap,Micro-D,28VDC,TRUE,FALSE,FALSE,5.287,20,6.65,22.53,1019.05,0.258,0
P1823,Cabin,Normal,50,17,4,0,1.475,73.77,12,0.846,XL-ETFE,Foil+Braid,Braided Sleeving,MIL-DTL-26482,28VDC,TRUE,TRUE,FALSE,3.313,25,6.56,17.82,494.67,0.231,0
P9648,Wing Root,Normal,94,27,3,3,1.055,99.14,22,0.745,PTFE,Foil,Lacing Cord,D-Sub,115VAC 400Hz,TRUE,TRUE,TRUE,1.201,3,6.87,21.04,399.84,0.269,0
P1974,Avionics Bay,Vibration-Prone,68,17,0,1,1.312,89.23,22,0.894,PTFE,None,Heat Shrink,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,1.059,3,5.84,18.03,772.21,0.33,0
P3268,Cabin,High Temp,103,24,3,2,0.916,94.36,20,0.489,XL-ETFE,None,Lacing Cord,MIL-DTL-83723,115VAC 400Hz,TRUE,TRUE,TRUE,1.318,4.25,6.55,20.99,886.35,0.26,0
P5607,Cargo Bay,Normal,53,12,4,4,2.421,128.32,22,0.729,PTFE,Foil,Heat Shrink,MIL-DTL-26482,115VAC 400Hz,TRUE,TRUE,TRUE,1.55,3,6.29,16.23,380.63,0.224,1
P1877,Cockpit,Moisture-Prone,70,19,1,1,1.58,110.59,10,0.434,XL-ETFE,Braid,Heat Shrink,D-Sub,230VAC 50Hz,TRUE,TRUE,TRUE,6.302,30,6.78,18.51,411.96,0.238,0
P4740,Avionics Bay,High Temp,95,23,2,3,1.655,157.22,14,1,XL-ETFE,None,Braided Sleeving,MIL-DTL-26482,28VDC,TRUE,TRUE,FALSE,5.534,17,6.47,16.82,681.87,0.229,0
P9493,Cargo Bay,Normal,117,28,7,4,1.902,222.58,26,0.617,XL-ETFE,Foil,Braided Sleeving,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,1.555,1.2,7.26,24.63,1336.11,0.253,1
P6322,Cargo Bay,High Temp,39,4,0,1,2.354,91.82,20,0.287,XL-ETFE,None,Heat Shrink,MIL-DTL-83723,28VDC,TRUE,TRUE,FALSE,1.231,4.25,4.82,12.71,214.53,0.187,1
P1789,Cockpit,Normal,112,30,1,4,2.116,237.03,20,1,XL-ETFE,Foil+Braid,Lacing Cord,MIL-DTL-26482,28VDC,TRUE,TRUE,FALSE,3.833,5,7.34,22.51,834.02,0.284,0
P5264,Avionics Bay,Moisture-Prone,93,21,2,4,1.735,161.32,16,0.783,XL-ETFE,None,Heat Shrink,MIL-DTL-83723,270VDC,TRUE,TRUE,TRUE,4.091,13,6.38,19.27,800.69,0.227,0
P7458,Cabin,Normal,47,14,2,2,2.629,123.55,26,0.15,PVC,None,Heat Shrink,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,0.747,1.2,5.37,15.4,643.4,0.22,0
P6298,Wing Root,High Temp,93,24,2,4,1.625,151.12,18,0.438,XL-ETFE,None,Braided Sleeving,D-Sub,28VDC,TRUE,TRUE,FALSE,2.686,6.8,6.53,15.77,422.02,0.23,0
P4167,Avionics Bay,Normal,58,6,1,4,1.372,79.57,14,0.364,PTFE,Foil,Spiral Wrap,D-Sub,28VDC,TRUE,TRUE,FALSE,2.601,20,5.8,10.21,178.44,0.209,1
P4144,Cockpit,High Temp,37,5,1,4,0.808,29.91,22,0.546,PTFE,None,Heat Shrink,Micro-D,115VAC 400Hz,TRUE,TRUE,TRUE,0.332,2.55,5.22,10.42,174.68,0.195,0
P7766,Cockpit,Normal,95,17,1,6,1.302,123.65,16,0.468,Polyimide,None,Lacing Cord,MIL-DTL-83723,230VAC 50Hz,TRUE,TRUE,TRUE,2.949,13,6.15,19.06,696.27,0.271,0
P6439,Avionics Bay,Moisture-Prone,123,30,7,4,1.908,234.72,20,0.61,PTFE,None,Heat Shrink,MIL-DTL-38999,230VAC 50Hz,TRUE,FALSE,FALSE,3.358,5,6.99,27.63,1472.18,0.247,1
P6302,Avionics Bay,Normal,81,20,2,5,1.367,110.76,20,0.298,XL-ETFE,None,Braided Sleeving,MIL-DTL-83723,28VDC,TRUE,TRUE,FALSE,1.488,5,5.99,16.89,782.46,0.216,0
P5537,Cockpit,Normal,51,13,1,0,2.398,122.27,16,0.509,PTFE,Braid,Heat Shrink,MIL-DTL-26482,115VAC 400Hz,TRUE,TRUE,FALSE,3.087,13,5.98,15.28,413.12,0.215,0
P4770,Cargo Bay,Normal,112,26,2,4,1.642,183.86,18,0.663,XL-ETFE,None,Spiral Wrap,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,3.417,8,6.25,13.93,1172.31,0.222,1
P9903,Cockpit,Vibration-Prone,101,27,3,6,1.524,153.9,16,0.296,PTFE,Braid,Heat Shrink,MIL-DTL-38999,270VDC,TRUE,TRUE,TRUE,3.72,13,7.77,25.29,1276.22,0.4,0
P8727,Cabin,Normal,115,29,5,9,1.383,159,18,0.525,Polyimide,Foil+Braid,Heat Shrink,MIL-DTL-38999,270VDC,TRUE,TRUE,TRUE,3.02,8,8.01,23.01,1383.67,0.299,0
P3107,Cabin,Vibration-Prone,56,9,2,6,1.943,108.79,16,0.68,Polyimide,Foil+Braid,Spiral Wrap,MIL-DTL-38999,270VDC,TRUE,TRUE,TRUE,2.84,13,7.29,15.9,545.64,0.408,1
P5725,Cabin,Vibration-Prone,70,13,0,0,1.641,114.85,10,0.667,XL-ETFE,Foil+Braid,Lacing Cord,MIL-DTL-38999,115VAC 400Hz,TRUE,TRUE,TRUE,6.854,30,6.74,13.38,765.86,0.394,0
P1976,Cabin,Normal,57,15,2,4,1.458,83.09,24,0.449,XL-ETFE,Braid,Braided Sleeving,MIL-DTL-38999,230VAC 50Hz,TRUE,TRUE,TRUE,0.734,2,6.52,15.81,695.33,0.23,0
P5332,Wing Root,Normal,105,26,5,2,2.239,235.13,20,0.429,PTFE,None,Braided Sleeving,MIL-DTL-83723,115VAC 400Hz,TRUE,FALSE,TRUE,3.245,5,6.3,20.35,1058.05,0.225,1
P7338,Wing Root,High Temp,75,21,6,2,1.34,100.52,26,0.544,XL-ETFE,Foil,Braided Sleeving,MIL-DTL-38999,230VAC 50Hz,TRUE,TRUE,TRUE,0.692,1.02,7.15,21.47,930.53,0.249,1
P6899,Cabin,Normal,92,22,0,9,0.821,75.55,20,0.421,XL-ETFE,Braid,Heat Shrink,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,1.093,5,6.88,16.17,989.32,0.24,0
P2074,Cockpit,High Temp,50,7,1,3,1.752,87.62,20,0.671,Polyimide,None,Lacing Cord,D-Sub,115VAC 400Hz,TRUE,TRUE,TRUE,1.269,4.25,5.69,13.88,169.4,0.256,0
P6241,Engine Nacelle,Vibration-Prone,38,4,1,0,1.885,71.64,18,0.554,XL-ETFE,Foil,Heat Shrink,MIL-DTL-26482,115VAC 400Hz,TRUE,TRUE,TRUE,1.369,8,5.59,7,177.97,0.317,0
P7217,Wing Root,Normal,53,4,1,1,2.269,120.23,18,0.42,PVC,Braid,Heat Shrink,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,2.236,8,5.61,14.51,300.01,0.226,1
P7249,Avionics Bay,Normal,120,32,8,9,1.46,175.21,14,0.559,XL-ETFE,Foil,Heat Shrink,MIL-DTL-26482,115VAC 400Hz,TRUE,TRUE,TRUE,5.957,20,7.55,22.87,899.64,0.261,0
P4872,Wing Root,Vibration-Prone,100,22,4,0,2.261,226.13,24,0.725,PTFE,Braid,Braided Sleeving,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,2.109,2,7.34,19.31,1143.59,0.382,0
P5299,Wing Root,High Temp,108,22,4,2,1.486,160.49,22,0.728,XL-ETFE,Braid,Lacing Cord,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,1.938,2.55,7.49,20.98,1036.74,0.288,0
P8062,Avionics Bay,Normal,58,12,0,0,1.66,96.31,16,0.993,XL-ETFE,Braid,Lacing Cord,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,2.666,13,5.87,15.53,629.26,0.239,0
P7131,Cabin,Vibration-Prone,116,27,4,6,1.476,171.2,12,0.29,PVC,None,Spiral Wrap,MIL-DTL-83723,270VDC,TRUE,TRUE,FALSE,6.561,25,7.01,21.28,1157.13,0.4,0
P9967,Engine Nacelle,Normal,101,20,5,5,1.672,168.88,16,0.454,PTFE,None,Braided Sleeving,MIL-DTL-26482,28VDC,TRUE,TRUE,FALSE,4.016,13,6.31,21.31,587.04,0.226,0
P8025,Cockpit,Normal,148,43,3,11,1.44,213.15,12,0.626,PTFE,Foil,Heat Shrink,MIL-DTL-38999,230VAC 50Hz,TRUE,TRUE,TRUE,9.178,25,7.61,23.96,1993.97,0.263,0
P9655,Avionics Bay,High Temp,66,21,0,2,2.005,132.3,22,0.737,Polyimide,Foil+Braid,Spiral Wrap,MIL-DTL-38999,115VAC 400Hz,TRUE,TRUE,TRUE,1.601,2.55,7.25,19.93,1047.88,0.274,1
P4186,Engine Nacelle,Moisture-Prone,43,11,1,2,1.968,84.62,16,0.804,XL-ETFE,Braid,Lacing Cord,MIL-DTL-83723,115VAC 400Hz,TRUE,TRUE,TRUE,2.262,13,6.34,15.72,483.71,0.252,1
P3550,Cabin,High Temp,108,26,6,5,1.445,156.04,16,0.861,XL-ETFE,Braid,Lacing Cord,MIL-DTL-83723,230VAC 50Hz,TRUE,TRUE,TRUE,4.216,11.05,7.83,22.75,1070.61,0.299,1
P1081,Cabin,Normal,67,14,3,6,1.989,133.29,18,0.725,XL-ETFE,None,Braided Sleeving,MIL-DTL-83723,115VAC 400Hz,TRUE,TRUE,FALSE,2.507,8,5.84,15.69,593.24,0.212,0
P5857,Engine Nacelle,Normal,106,29,3,7,2.156,228.55,18,0.957,PTFE,None,Lacing Cord,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,4.49,8,6.46,21.11,1440.87,0.258,1
P2434,Avionics Bay,Normal,66,18,6,3,1.462,96.5,22,0.463,XL-ETFE,None,Heat Shrink,MIL-DTL-38999,230VAC 50Hz,TRUE,TRUE,TRUE,1.054,3,5.98,20.21,793.68,0.217,0
P5276,Cockpit,Normal,10,4,0,0,1.348,13.48,16,0.966,Polyimide,Braid,Braided Sleeving,MIL-DTL-38999,115VAC 400Hz,TRUE,TRUE,TRUE,0.371,13,4.67,8.45,182.97,0.201,0
P6435,Avionics Bay,Normal,64,11,4,0,1.847,118.2,12,0.264,XL-ETFE,Foil,Spiral Wrap,MIL-DTL-83723,115VAC 400Hz,TRUE,TRUE,TRUE,4.73,25,6.05,15.64,527.58,0.217,1
P1120,Cabin,Normal,90,25,6,4,2.362,212.62,18,0.503,PTFE,None,Braided Sleeving,Micro-D,230VAC 50Hz,TRUE,TRUE,TRUE,3.83,8,6.35,19.67,828.68,0.227,0
P5747,Cargo Bay,Normal,129,31,7,9,1.154,148.83,24,0.597,PTFE,None,Lacing Cord,MIL-DTL-38999,115VAC 400Hz,TRUE,TRUE,TRUE,1.29,2,6.86,24.74,1354.62,0.271,0
P8248,Cabin,Normal,77,23,2,5,1.992,153.38,26,0.865,Polyimide,Foil,Lacing Cord,MIL-DTL-83723,115VAC 400Hz,TRUE,TRUE,TRUE,1.123,1.2,6.91,15.32,869.11,0.293,0
P3470,Avionics Bay,Normal,59,19,2,3,2.087,123.15,18,0.805,PTFE,Foil+Braid,Heat Shrink,D-Sub,115VAC 400Hz,TRUE,TRUE,TRUE,2.469,8,6.82,14.04,349.99,0.237,0
P2348,Avionics Bay,Vibration-Prone,67,17,3,5,1.319,88.35,10,0.575,PTFE,None,Spiral Wrap,Micro-D,115VAC 400Hz,TRUE,FALSE,FALSE,4.932,30,6.39,15.42,604.35,0.347,0
P7099,Avionics Bay,Normal,68,15,1,1,1.753,119.2,12,0.338,Polyimide,Foil+Braid,Lacing Cord,MIL-DTL-83723,28VDC,TRUE,TRUE,FALSE,4.844,25,6.75,13.5,664.52,0.287,0
P3292,Engine Nacelle,High Temp,108,27,7,7,1.463,158.03,20,0.382,XL-ETFE,Foil,Lacing Cord,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,2.268,4.25,7.74,23.28,1261.29,0.297,0
P1258,Cabin,Moisture-Prone,117,30,4,8,1.716,200.79,24,0.583,Polyimide,Foil,Heat Shrink,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,1.822,2,7.84,20.21,1390.71,0.293,1
P7852,Engine Nacelle,High Temp,110,29,5,4,1.554,170.9,12,0.675,XL-ETFE,Foil+Braid,Braided Sleeving,MIL-DTL-83723,28VDC,TRUE,TRUE,FALSE,7.429,21.25,8.03,22.35,1311.24,0.275,0
P8018,Wing Root,Moisture-Prone,76,12,1,5,0.995,75.63,16,0.441,Polyimide,None,Heat Shrink,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,1.794,13,6.16,17.01,592.49,0.242,1
P1818,Cargo Bay,Normal,53,11,2,6,1.771,93.89,18,0.602,PTFE,Foil,Lacing Cord,MIL-DTL-83723,28VDC,TRUE,TRUE,FALSE,1.811,8,6.19,13.19,481.19,0.247,1
P3552,Engine Nacelle,Normal,85,23,1,4,1.834,155.85,18,0.698,XL-ETFE,Foil,Heat Shrink,MIL-DTL-83723,115VAC 400Hz,TRUE,TRUE,TRUE,3.062,8,6.61,16.5,921.19,0.232,1
P2620,Cockpit,Moisture-Prone,78,17,3,6,1.201,93.67,14,0.854,XL-ETFE,Braid,Braided Sleeving,Micro-D,28VDC,TRUE,TRUE,FALSE,3.37,20,7.24,15.77,528.09,0.249,1
P5062,Avionics Bay,Vibration-Prone,65,15,0,6,1.168,75.92,20,0.604,PTFE,None,Braided Sleeving,D-Sub,115VAC 400Hz,TRUE,TRUE,TRUE,1.085,5,6.03,14.36,226.97,0.335,0
P1288,Cargo Bay,High Temp,110,26,3,1,2.004,220.44,18,0.334,XL-ETFE,None,Lacing Cord,MIL-DTL-83723,115VAC 400Hz,TRUE,TRUE,FALSE,3.836,6.8,6.54,20.02,1059.8,0.26,0
P8795,Cargo Bay,Normal,86,29,1,4,1.408,121.1,22,0.594,PTFE,None,Lacing Cord,MIL-DTL-38999,115VAC 400Hz,TRUE,TRUE,TRUE,1.357,3,6.05,18.89,1292.73,0.245,1
P9609,Cargo Bay,Normal,67,17,1,1,1.536,102.9,24,0.705,PTFE,Braid,Braided Sleeving,MIL-DTL-26482,115VAC 400Hz,TRUE,TRUE,TRUE,0.956,2,6.37,17.19,449.37,0.226,1
P5135,Cockpit,Normal,11,4,1,0,1.784,19.63,16,0.296,Polyimide,None,Braided Sleeving,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,0.452,13,3.97,9.19,212.58,0.184,0
P8887,Cargo Bay,High Temp,96,28,4,4,1.288,123.67,18,0.47,PTFE,None,Braided Sleeving,MIL-DTL-38999,270VDC,TRUE,TRUE,FALSE,2.213,6.8,6.76,21.04,1294.9,0.238,0
P4653,Cockpit,Normal,141,40,6,5,0.963,135.76,22,0.751,PTFE,None,Braided Sleeving,MIL-DTL-38999,230VAC 50Hz,TRUE,TRUE,TRUE,1.568,3,6.87,23.27,1656.27,0.242,0
P7553,Cockpit,Normal,10,5,3,1,1.516,15.16,18,0.383,XL-ETFE,Braid,Braided Sleeving,MIL-DTL-83723,28VDC,TRUE,FALSE,FALSE,0.28,8,4.99,11.01,191.46,0.19,0
P4239,Cockpit,Normal,83,14,4,4,1.95,161.82,16,0.778,Polyimide,None,Spiral Wrap,MIL-DTL-83723,230VAC 50Hz,TRUE,TRUE,TRUE,4.1,13,6.15,17.66,656.94,0.242,0
P4691,Wing Root,Normal,102,25,4,5,2.31,235.64,22,0.304,PVC,None,Heat Shrink,MIL-DTL-83723,28VDC,TRUE,TRUE,FALSE,2.491,3,6.36,23.76,1019.92,0.25,0
P6479,Avionics Bay,High Temp,46,11,0,6,1.787,82.22,16,0.71,PTFE,Braid,Braided Sleeving,MIL-DTL-38999,115VAC 400Hz,TRUE,TRUE,TRUE,2.159,11.05,6.51,15.31,522.77,0.229,0
P5301,Cargo Bay,Normal,88,20,1,0,1.427,125.55,12,0.271,PTFE,Braid,Braided Sleeving,MIL-DTL-83723,115VAC 400Hz,TRUE,FALSE,TRUE,5.031,25,6.48,16.68,849.48,0.229,0
P5722,Cockpit,Moisture-Prone,93,21,4,5,1.633,151.91,20,0.643,PVC,Foil,Braided Sleeving,MIL-DTL-83723,270VDC,TRUE,TRUE,TRUE,2.297,5,7.24,22.51,867.33,0.275,0
P3430,Cabin,High Temp,42,10,0,0,1.54,64.66,26,0.445,PTFE,None,Heat Shrink,MIL-DTL-26482,115VAC 400Hz,TRUE,TRUE,TRUE,0.416,1.02,5.14,12.02,243.21,0.194,0
P6950,Engine Nacelle,Normal,99,24,4,2,1.284,127.14,26,0.586,Polyimide,None,Spiral Wrap,MIL-DTL-38999,28VDC,TRUE,FALSE,FALSE,0.841,1.2,6.38,17.34,1058.84,0.248,0
P5210,Cockpit,High Temp,96,23,2,6,2.255,216.51,14,0.719,PTFE,None,Heat Shrink,MIL-DTL-83723,28VDC,TRUE,TRUE,FALSE,7.232,17,6.61,16.46,1056.27,0.232,1
P5233,Cabin,Normal,37,9,0,2,2.065,76.4,14,0.756,PTFE,None,Braided Sleeving,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,2.57,20,4.8,11.18,483.79,0.186,0
P9605,Cargo Bay,Normal,73,19,3,5,1.838,134.16,18,0.416,XL-ETFE,None,Heat Shrink,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,2.374,8,5.99,15.77,891.58,0.216,1
P7324,Cockpit,Normal,49,11,2,3,1.324,64.89,24,0.32,PTFE,None,Heat Shrink,MIL-DTL-38999,115VAC 400Hz,TRUE,TRUE,TRUE,0.532,2,5.34,13.53,516.64,0.199,0
P2607,Cockpit,Normal,63,13,1,2,2.092,131.77,24,0.692,PTFE,None,Lacing Cord,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,1.163,2,5.39,13.51,617.2,0.226,0
